billing_account_id,project.id,project.name,currency,service.description,sku.description,usage_start_time,usage_end_time,invoice.month,cost_type,cost,credits,price.pricing_unit_quantity,price.unit,cost_at_list,labels
GCP-BILLING-001,projeto-producao,Produção,USD,Compute Engine,N2 Instance Core running in Americas,2026-06-01T10:00:00Z,2026-06-01T11:00:00Z,202606,regular,24,[],12,hour,30,"[{""key"": ""environment"", ""value"": ""prod""}, {""key"": ""team"", ""value"": ""backend""}, {""key"": ""project"", ""value"": ""focus""}]"
GCP-BILLING-001,projeto-producao,Produção,USD,Compute Engine,Standard persistent disk capacity,2026-06-02T10:00:00Z,2026-06-02T11:00:00Z,202606,regular,8,[],100,gibibyte month,10,"[{""key"": ""environment"", ""value"": ""prod""}, {""key"": ""team"", ""value"": ""platform""}]"
GCP-BILLING-001,projeto-dados,Dados,USD,Cloud Storage,Standard Storage US,2026-06-03T10:00:00Z,2026-06-03T11:00:00Z,202606,regular,7,[],250,gibibyte month,9,"[{""key"": ""environment"", ""value"": ""prod""}, {""key"": ""team"", ""value"": ""data""}]"
GCP-BILLING-001,projeto-dados,Dados,USD,Cloud SQL,Cloud SQL for PostgreSQL,2026-06-04T10:00:00Z,2026-06-04T11:00:00Z,202606,regular,18,[],10,hour,23,"[{""key"": ""environment"", ""value"": ""prod""}, {""key"": ""team"", ""value"": ""data""}, {""key"": ""database"", ""value"": ""postgres""}]"
GCP-BILLING-001,projeto-dev,Desenvolvimento,USD,Cloud Run,Cloud Run CPU allocation,2026-06-05T10:00:00Z,2026-06-05T11:00:00Z,202606,regular,6,[],150,second,8,"[{""key"": ""environment"", ""value"": ""dev""}, {""key"": ""team"", ""value"": ""backend""}]"
GCP-BILLING-001,projeto-producao,Produção,USD,Compute Engine,N2 Instance with committed use credit,2026-06-07T10:00:00Z,2026-06-07T11:00:00Z,202606,regular,30,"[{""name"": ""Committed use discount"", ""amount"": -9.0}, {""name"": ""Promotional credit"", ""amount"": -1.0}]",15,hour,40,"[{""key"": ""environment"", ""value"": ""prod""}, {""key"": ""team"", ""value"": ""backend""}, {""key"": ""commitment"", ""value"": ""true""}]"
GCP-BILLING-001,projeto-dados,Dados,USD,BigQuery,BigQuery Analysis,2026-06-09T10:00:00Z,2026-06-09T11:00:00Z,202606,regular,20,"[{""name"": ""Sustained use credit"", ""amount"": -4.0}]",5,tebibyte,26,"[{""key"": ""environment"", ""value"": ""prod""}, {""key"": ""team"", ""value"": ""data""}]"
GCP-BILLING-001,projeto-producao,Produção,USD,Google Cloud,Tax charge,2026-06-11T10:00:00Z,2026-06-11T11:00:00Z,202606,tax,9,[],1,unit,9,"[{""key"": ""environment"", ""value"": ""shared""}, {""key"": ""team"", ""value"": ""finops""}]"
GCP-BILLING-001,projeto-producao,Produção,USD,Google Cloud,Billing adjustment,2026-06-13T10:00:00Z,2026-06-13T11:00:00Z,202606,adjustment,-5,[],1,unit,-5,"[{""key"": ""environment"", ""value"": ""shared""}, {""key"": ""team"", ""value"": ""finops""}]"
GCP-BILLING-001,projeto-producao,Produção,USD,Google Cloud,Rounding correction,2026-06-14T10:00:00Z,2026-06-14T11:00:00Z,202606,rounding_error,-1,[],1,unit,-1,"[{""key"": ""environment"", ""value"": ""shared""}, {""key"": ""team"", ""value"": ""finops""}]"
GCP-BILLING-001,projeto-dev,Desenvolvimento,USD,Monitoring,Synthetic unknown cost type,2026-06-16T10:00:00Z,2026-06-16T11:00:00Z,202606,other_test,3,[],20,unit,4,"[{""key"": ""environment"", ""value"": ""test""}, {""key"": ""team"", ""value"": ""qa""}]"
GCP-BILLING-001,projeto-dev,Desenvolvimento,USD,Cloud Pub/Sub,Pub/Sub message delivery,2026-06-18T10:00:00Z,2026-06-18T11:00:00Z,202606,regular,5,[],100000,message,7,[]
GCP-BILLING-001,projeto-dados,Dados,USD,Compute Engine,N2 Batch Instance,2026-06-20T10:00:00Z,2026-06-20T11:00:00Z,202606,regular,14,"[{""name"": ""Promotional credit"", ""amount"": -2.0}]",7,hour,18,"[{""key"": ""environment"", ""value"": ""prod""}, {""key"": ""team"", ""value"": ""data""}]"
GCP-BILLING-001,projeto-backup,Backup,USD,Cloud Storage,Nearline Storage,2026-06-22T10:00:00Z,2026-06-22T11:00:00Z,202606,regular,6,[],300,gibibyte month,8,"[{""key"": ""environment"", ""value"": ""backup""}, {""key"": ""team"", ""value"": ""platform""}]"
GCP-BILLING-001,projeto-dev,Desenvolvimento,USD,Cloud SQL,Cloud SQL Staging,2026-06-24T10:00:00Z,2026-06-24T11:00:00Z,202606,regular,11,"[{""name"": ""Promotional credit"", ""amount"": -1.0}]",6,hour,15,"[{""key"": ""environment"", ""value"": ""staging""}, {""key"": ""team"", ""value"": ""backend""}]"
GCP-BILLING-001,projeto-dev,Desenvolvimento,USD,Cloud Run,Cloud Run Requests,2026-06-26T10:00:00Z,2026-06-26T11:00:00Z,202606,regular,4,[],500000,request,6,"[{""key"": ""environment"", ""value"": ""dev""}, {""key"": ""team"", ""value"": ""backend""}]"
GCP-BILLING-001,projeto-dados,Dados,USD,BigQuery,BigQuery Storage,2026-06-28T10:00:00Z,2026-06-28T11:00:00Z,202606,regular,9,[],150,gibibyte month,12,"[{""key"": ""environment"", ""value"": ""prod""}, {""key"": ""team"", ""value"": ""data""}]"
GCP-BILLING-001,projeto-producao,Produção,USD,Cloud Load Balancing,Load Balancing Data Processing,2026-06-30T10:00:00Z,2026-06-30T11:00:00Z,202606,regular,7,[],80,gibibyte,10,"[{""key"": ""environment"", ""value"": ""prod""}, {""key"": ""team"", ""value"": ""platform""}]"
