lineItem/LineItemDescription,lineItem/UsageStartDate,lineItem/UsageEndDate,bill/PayerAccountId,lineItem/UsageAccountId,bill/BillingEntity,lineItem/UnblendedCost,pricing/publicOnDemandCost,lineItem/CurrencyCode,lineItem/ResourceId,product/ProductName,resourceTags/user:Environment
USE1-Request,2026-06-01T02:00:00Z,2026-06-01T03:00:00Z,111122223333,444455556666,AWS,0.102565,0.124489,USD,arn:aws:lambda:us-east-1:444455556666:resource/res-00007,AWS Lambda,staging
USE1-BoxUsage:t3.medium,2026-06-01T05:00:00Z,2026-06-01T06:00:00Z,123456789012,345678901234,AWS,4.228425,5.230186,USD,arn:aws:elastic-compute-cloud:us-east-1:345678901234:resource/res-00004,Amazon Elastic Compute Cloud,production
USE1-LoadBalancerUsage,2026-06-01T06:00:00Z,2026-06-01T07:00:00Z,111122223333,444455556666,AWS,0.993763,1.148552,USD,arn:aws:elastic-load-balancing:us-east-1:444455556666:resource/res-00014,Amazon Elastic Load Balancing,development
USE1-BoxUsage:t3.medium,2026-06-01T15:00:00Z,2026-06-01T16:00:00Z,123456789012,234567890123,AWS,3.977327,4.933173,USD,arn:aws:elastic-compute-cloud:us-east-1:234567890123:resource/res-00006,Amazon Elastic Compute Cloud,development
USE1-BackupUsage,2026-06-01T20:00:00Z,2026-06-01T21:00:00Z,123456789012,345678901234,AWS,2.957057,3.621264,USD,arn:aws:relational-database-service:us-east-1:345678901234:resource/res-00003,Amazon Relational Database Service,
USE1-BackupUsage,2026-06-01T22:00:00Z,2026-06-01T23:00:00Z,123456789012,234567890123,AWS,0.417153,0.499955,USD,arn:aws:relational-database-service:us-east-1:234567890123:resource/res-00003,Amazon Relational Database Service,
USE1-BackupUsage,2026-06-01T22:00:00Z,2026-06-01T23:00:00Z,123456789012,345678901234,AWS,4.291502,4.970919,USD,arn:aws:relational-database-service:us-east-1:345678901234:resource/res-00005,Amazon Relational Database Service,qa
USE1-BackupUsage,2026-06-02T00:00:00Z,2026-06-02T01:00:00Z,123456789012,234567890123,AWS,6.625308,6.95438,USD,arn:aws:relational-database-service:us-east-1:234567890123:resource/res-00002,Amazon Relational Database Service,qa
USE1-DataTransfer-Out-Bytes,2026-06-02T00:00:00Z,2026-06-02T01:00:00Z,111122223333,444455556666,AWS,3.720562,3.860237,USD,arn:aws:elastic-compute-cloud:us-east-1:444455556666:resource/res-00008,Amazon Elastic Compute Cloud,qa
USE1-LCUUsage,2026-06-02T03:00:00Z,2026-06-02T04:00:00Z,111122223333,444455556666,AWS,0.84759,1.062554,USD,arn:aws:elastic-load-balancing:us-east-1:444455556666:resource/res-00006,Amazon Elastic Load Balancing,staging
USE1-Requests-Tier1,2026-06-02T05:00:00Z,2026-06-02T06:00:00Z,123456789012,234567890123,AWS,1.202143,1.273896,USD,arn:aws:simple-storage-service:us-east-1:234567890123:resource/res-00003,Amazon Simple Storage Service,
USE1-DataTransfer-Out-Bytes,2026-06-02T10:00:00Z,2026-06-02T11:00:00Z,987654321098,876543210987,AWS,2.561128,2.933662,USD,arn:aws:simple-storage-service:us-east-1:876543210987:resource/res-00006,Amazon Simple Storage Service,development
USE1-Requests-HTTPS-Proxy,2026-06-02T10:00:00Z,2026-06-02T11:00:00Z,111122223333,444455556666,AWS,1.92204,2.529258,USD,arn:aws:cloudfront:us-east-1:444455556666:resource/res-00016,Amazon CloudFront,qa
